step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,138.5,71.1,914,0.9999,0.75,0,dqn,rl,0,0
1,4,4,105.3,57.7,989,1.0,1.75,1,dqn,rl,0,0
2,4,4,95.7,56.4,967,1.0,2.75,0,dqn,rl,0,0
3,4,4,97.3,52.6,902,1.0,3.75,0,dqn,rl,0,0
4,4,4,85.2,51.6,884,1.0,4.75,0,dqn,rl,0,0
5,4,4,93.4,53.8,923,1.0,5.75,0,dqn,rl,0,0
6,4,4,127.4,65.5,1123,1.0,6.75,0,dqn,rl,0,0
7,4,4,124.1,66.8,1145,0.9999,7.75,0,dqn,rl,0,0
8,4,4,116.0,63.3,1085,1.0,8.75,0,dqn,rl,0,0
9,4,4,140.3,72.6,1244,0.9999,9.75,0,dqn,rl,0,0
10,5,5,94.2,52.6,1127,1.0,11.0,1,dqn,rl,0,0
11,5,5,76.1,44.1,946,1.0,12.25,0,dqn,rl,0,0
12,4,4,115.3,61.5,1054,1.0,13.25,1,dqn,rl,0,0
13,4,4,98.4,56.2,964,1.0,14.25,0,dqn,rl,0,0
14,4,4,124.6,64.4,1104,1.0,15.25,0,dqn,rl,0,0
15,4,4,113.4,61.6,1056,1.0,16.25,0,dqn,rl,0,0
16,4,4,90.8,51.9,889,1.0,17.25,0,dqn,rl,0,0
17,4,4,94.2,51.9,890,1.0,18.25,0,dqn,rl,0,0
18,4,4,87.6,51.4,881,1.0,19.25,0,dqn,rl,0,0
19,4,4,102.7,56.6,970,1.0,20.25,0,dqn,rl,0,0
20,4,4,80.5,48.6,834,1.0,21.25,0,dqn,rl,0,0
21,4,4,91.4,52.3,896,1.0,22.25,0,dqn,rl,0,0
22,4,4,80.5,47.5,815,1.0,23.25,0,dqn,rl,0,0
23,4,4,74.9,46.5,797,1.0,24.25,0,dqn,rl,0,0
24,4,4,92.2,52.8,905,1.0,25.25,0,dqn,rl,0,0
25,4,4,91.9,52.6,901,1.0,26.25,0,dqn,rl,0,0
26,4,4,97.6,55.3,948,1.0,27.25,0,dqn,rl,0,0
27,4,4,118.7,64.6,1107,1.0,28.25,0,dqn,rl,0,0
28,4,4,132.4,70.3,1206,0.9999,29.25,0,dqn,rl,0,0
29,5,5,116.5,62.2,1333,1.0,30.5,1,dqn,rl,0,0
30,5,5,136.6,70.1,1503,0.9999,31.75,0,dqn,rl,0,0
31,5,5,163.2,75.7,1623,0.9999,33.0,0,dqn,rl,0,0
32,5,5,159.4,82.3,1765,0.9998,34.25,0,dqn,rl,0,0
33,9,9,77.9,46.7,1800,1.0,36.5,1,dqn,rl,0,0
34,9,9,84.4,49.0,1889,1.0,38.75,0,dqn,rl,0,0
35,9,9,84.3,48.0,1851,1.0,41.0,0,dqn,rl,0,0
36,9,9,68.9,42.9,1654,1.0,43.25,0,dqn,rl,0,0
37,6,6,116.1,63.0,1621,1.0,44.75,1,dqn,rl,0,0
38,5,5,118.9,63.0,1349,1.0,46.0,1,dqn,rl,0,0
39,5,5,110.2,58.8,1261,1.0,47.25,0,dqn,rl,0,0
40,5,5,94.2,53.6,1148,1.0,48.5,0,dqn,rl,0,0
41,5,5,82.9,48.0,1028,1.0,49.75,0,dqn,rl,0,0
42,4,4,85.7,51.9,889,1.0,50.75,1,dqn,rl,0,0
43,4,4,84.7,47.8,819,1.0,51.75,0,dqn,rl,0,0
44,4,4,88.0,49.3,845,1.0,52.75,0,dqn,rl,0,0
45,4,4,90.6,52.1,894,1.0,53.75,0,dqn,rl,0,0
46,4,4,82.0,47.8,819,1.0,54.75,0,dqn,rl,0,0
47,4,4,63.3,41.1,704,1.0,55.75,0,dqn,rl,0,0
48,3,3,94.3,54.2,697,1.0,56.5,1,dqn,rl,0,0
49,3,3,105.8,57.7,742,1.0,57.25,0,dqn,rl,0,0
50,3,3,144.9,71.2,916,0.9999,58.0,0,dqn,rl,0,0
51,4,4,77.6,47.0,806,1.0,59.0,1,dqn,rl,0,0
52,4,4,71.5,44.6,764,1.0,60.0,0,dqn,rl,0,0
53,4,4,75.1,45.7,784,1.0,61.0,0,dqn,rl,0,0
54,4,4,71.5,43.9,753,1.0,62.0,0,dqn,rl,0,0
55,3,3,124.6,63.4,815,1.0,62.75,1,dqn,rl,0,0
56,4,4,73.7,45.7,783,1.0,63.75,1,dqn,rl,0,0
57,4,4,82.8,48.2,826,1.0,64.75,0,dqn,rl,0,0
58,4,4,73.6,44.9,770,1.0,65.75,0,dqn,rl,0,0
59,4,4,62.2,42.1,722,1.0,66.75,0,dqn,rl,0,0
60,3,3,102.3,56.9,732,1.0,67.5,1,dqn,rl,0,0
61,3,3,104.8,57.6,740,1.0,68.25,0,dqn,rl,0,0
62,3,3,116.5,62.1,798,1.0,69.0,0,dqn,rl,0,0
63,4,4,83.1,48.5,831,1.0,70.0,1,dqn,rl,0,0
64,4,4,87.9,53.0,908,1.0,71.0,0,dqn,rl,0,0
65,4,4,99.8,55.4,949,1.0,72.0,0,dqn,rl,0,0
66,4,4,92.1,53.1,911,1.0,73.0,0,dqn,rl,0,0
67,4,4,86.3,51.6,885,1.0,74.0,0,dqn,rl,0,0
68,4,4,88.3,50.3,863,1.0,75.0,0,dqn,rl,0,0
69,4,4,91.6,51.4,881,1.0,76.0,0,dqn,rl,0,0
70,4,4,92.1,53.1,910,1.0,77.0,0,dqn,rl,0,0
71,4,4,85.4,48.9,838,1.0,78.0,0,dqn,rl,0,0
72,4,4,80.4,48.1,825,1.0,79.0,0,dqn,rl,0,0
73,4,4,83.5,48.9,838,1.0,80.0,0,dqn,rl,0,0
74,4,4,70.8,44.9,770,1.0,81.0,0,dqn,rl,0,0
75,4,4,105.0,55.6,953,1.0,82.0,0,dqn,rl,0,0
76,4,4,85.0,52.5,900,1.0,83.0,0,dqn,rl,0,0
77,4,4,87.2,50.5,866,1.0,84.0,0,dqn,rl,0,0
78,4,4,80.6,47.2,809,1.0,85.0,0,dqn,rl,0,0
79,4,4,81.0,50.0,858,1.0,86.0,0,dqn,rl,0,0
80,4,4,79.0,47.4,812,1.0,87.0,0,dqn,rl,0,0
81,4,4,92.1,52.4,899,1.0,88.0,0,dqn,rl,0,0
82,4,4,93.8,52.1,894,1.0,89.0,0,dqn,rl,0,0
83,4,4,87.6,49.3,846,1.0,90.0,0,dqn,rl,0,0
84,4,4,76.6,46.6,799,1.0,91.0,0,dqn,rl,0,0
85,4,4,76.4,47.5,814,1.0,92.0,0,dqn,rl,0,0
86,4,4,78.7,45.8,786,1.0,93.0,0,dqn,rl,0,0
87,4,4,69.7,42.6,731,1.0,94.0,0,dqn,rl,0,0
88,3,3,116.8,62.8,807,1.0,94.75,1,dqn,rl,0,0
89,4,4,74.4,45.1,773,1.0,95.75,1,dqn,rl,0,0
90,4,4,74.9,45.3,776,1.0,96.75,0,dqn,rl,0,0
91,4,4,81.7,47.7,818,1.0,97.75,0,dqn,rl,0,0
92,4,4,81.7,48.1,824,1.0,98.75,0,dqn,rl,0,0
93,4,4,103.2,55.1,945,1.0,99.75,0,dqn,rl,0,0
94,4,4,92.2,54.4,933,1.0,100.75,0,dqn,rl,0,0
95,4,4,96.5,53.0,908,1.0,101.75,0,dqn,rl,0,0
96,4,4,101.4,55.6,953,1.0,102.75,0,dqn,rl,0,0
97,4,4,113.8,61.2,1050,1.0,103.75,0,dqn,rl,0,0
98,4,4,124.5,63.5,1088,1.0,104.75,0,dqn,rl,0,0
99,4,4,126.1,69.4,1189,0.9999,105.75,0,dqn,rl,0,0
100,5,5,140.7,69.5,1489,0.9999,107.0,1,dqn,rl,0,0
101,5,5,121.7,63.5,1361,1.0,108.25,0,dqn,rl,0,0
102,5,5,132.8,70.0,1501,0.9999,109.5,0,dqn,rl,0,0
103,5,5,144.7,72.0,1544,0.9999,110.75,0,dqn,rl,0,0
104,5,5,142.1,72.2,1548,0.9999,112.0,0,dqn,rl,0,0
105,5,5,175.4,79.2,1697,0.9998,113.25,0,dqn,rl,0,0
106,6,6,132.6,65.6,1686,1.0,114.75,1,dqn,rl,0,0
107,6,6,129.5,66.4,1707,1.0,116.25,0,dqn,rl,0,0
108,6,6,115.8,62.7,1613,1.0,117.75,0,dqn,rl,0,0
109,5,5,158.3,78.6,1685,0.9998,119.0,1,dqn,rl,0,0
110,5,5,158.6,78.3,1678,0.9998,120.25,0,dqn,rl,0,0
111,5,5,153.4,76.8,1646,0.9999,121.5,0,dqn,rl,0,0
112,5,5,147.3,75.2,1611,0.9999,122.75,0,dqn,rl,0,0
113,5,5,137.5,71.0,1521,0.9999,124.0,0,dqn,rl,0,0
114,5,5,126.7,66.4,1422,1.0,125.25,0,dqn,rl,0,0
115,5,5,136.1,70.3,1507,0.9999,126.5,0,dqn,rl,0,0
116,5,5,125.7,66.6,1427,0.9999,127.75,0,dqn,rl,0,0
117,5,5,105.0,58.7,1257,1.0,129.0,0,dqn,rl,0,0
118,5,5,102.2,53.5,1146,1.0,130.25,0,dqn,rl,0,0
119,5,5,81.9,49.8,1068,1.0,131.5,0,dqn,rl,0,0
120,4,4,120.9,65.2,1118,1.0,132.5,1,dqn,rl,0,0
121,4,4,110.9,59.3,1016,1.0,133.5,0,dqn,rl,0,0
122,4,4,100.5,56.1,962,1.0,134.5,0,dqn,rl,0,0
123,4,4,99.4,54.8,939,1.0,135.5,0,dqn,rl,0,0
124,4,4,105.9,56.9,975,1.0,136.5,0,dqn,rl,0,0
125,4,4,101.9,54.8,939,1.0,137.5,0,dqn,rl,0,0
126,4,4,103.4,55.9,959,1.0,138.5,0,dqn,rl,0,0
127,4,4,86.5,51.2,878,1.0,139.5,0,dqn,rl,0,0
128,4,4,91.8,51.1,876,1.0,140.5,0,dqn,rl,0,0
129,4,4,72.3,46.1,791,1.0,141.5,0,dqn,rl,0,0
