step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,140.5,71.1,914,0.9999,0.75,0,ppo,rl,0,0
1,6,6,57.1,38.5,989,1.0,2.25,1,ppo,rl,0,0
2,6,6,52.3,37.6,967,1.0,3.75,0,ppo,rl,0,0
3,6,6,51.4,35.1,902,1.0,5.25,0,ppo,rl,0,0
4,6,6,49.7,34.4,884,1.0,6.75,0,ppo,rl,0,0
5,6,6,48.1,35.9,923,1.0,8.25,0,ppo,rl,0,0
6,6,6,68.6,43.7,1123,1.0,9.75,0,ppo,rl,0,0
7,6,6,73.5,44.5,1145,1.0,11.25,0,ppo,rl,0,0
8,6,6,66.8,42.2,1085,1.0,12.75,0,ppo,rl,0,0
9,6,6,79.2,48.4,1244,1.0,14.25,0,ppo,rl,0,0
10,6,6,71.7,43.8,1127,1.0,15.75,0,ppo,rl,0,0
11,6,6,51.5,36.8,946,1.0,17.25,0,ppo,rl,0,0
12,6,6,63.8,41.0,1054,1.0,18.75,0,ppo,rl,0,0
13,6,6,54.1,37.5,964,1.0,20.25,0,ppo,rl,0,0
14,6,6,65.7,42.9,1104,1.0,21.75,0,ppo,rl,0,0
15,6,6,63.8,41.1,1056,1.0,23.25,0,ppo,rl,0,0
16,6,6,49.4,34.6,889,1.0,24.75,0,ppo,rl,0,0
17,6,6,52.7,34.6,890,1.0,26.25,0,ppo,rl,0,0
18,6,6,51.4,34.3,881,1.0,27.75,0,ppo,rl,0,0
19,6,6,54.3,37.7,970,1.0,29.25,0,ppo,rl,0,0
20,6,6,48.6,32.4,834,1.0,30.75,0,ppo,rl,0,0
21,6,6,50.4,34.8,896,1.0,32.25,0,ppo,rl,0,0
22,6,6,50.3,31.7,815,1.0,33.75,0,ppo,rl,0,0
23,6,6,48.1,31.0,797,1.0,35.25,0,ppo,rl,0,0
24,6,6,53.7,35.2,905,1.0,36.75,0,ppo,rl,0,0
25,6,6,51.0,35.0,901,1.0,38.25,0,ppo,rl,0,0
26,6,6,54.5,36.9,948,1.0,39.75,0,ppo,rl,0,0
27,6,6,66.1,43.0,1107,1.0,41.25,0,ppo,rl,0,0
28,6,6,82.1,46.9,1206,1.0,42.75,0,ppo,rl,0,0
29,6,6,87.1,51.8,1333,1.0,44.25,0,ppo,rl,0,0
30,6,6,105.3,58.4,1503,1.0,45.75,0,ppo,rl,0,0
31,6,6,121.3,63.1,1623,1.0,47.25,0,ppo,rl,0,0
32,6,6,133.9,68.6,1765,0.9999,48.75,0,ppo,rl,0,0
