step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,6,3,101.0,91.8,551,1.0,1.5,1,llama4-scout,domain,321,604.2
1,6,6,12.9,43.3,520,1.0,4.5,0,llama4-scout,domain,321,195.6
2,6,6,11.3,41.6,499,1.0,7.5,0,llama4-scout,domain,321,141.4
3,6,6,10.8,42.8,513,1.0,10.5,0,llama4-scout,domain,321,364.7
4,6,6,12.1,43.2,519,1.0,13.5,0,llama4-scout,domain,321,728.1
5,6,6,13.9,47.6,571,1.0,16.5,0,llama4-scout,domain,321,527.5
6,7,6,22.6,66.2,795,1.0,19.5,1,llama4-scout,domain,321,151.8
7,8,7,25.0,66.6,933,1.0,23.0,1,llama4-scout,domain,321,63.3
8,8,8,18.6,57.1,913,1.0,27.0,0,llama4-scout,domain,321,295.5
9,8,8,15.2,53.0,848,1.0,31.0,0,llama4-scout,domain,321,66.8
10,8,8,16.5,55.6,890,1.0,35.0,0,llama4-scout,domain,321,104.1
11,8,8,17.1,55.6,889,1.0,39.0,0,llama4-scout,domain,321,112.6
12,8,8,14.4,48.0,768,1.0,43.0,0,llama4-scout,domain,321,188.0
13,8,8,14.1,48.9,782,1.0,47.0,0,llama4-scout,domain,321,2032.0
14,8,8,13.8,48.4,774,1.0,51.0,0,llama4-scout,domain,321,3112.9
15,8,8,14.7,49.4,790,1.0,55.0,0,llama4-scout,domain,321,963.5
16,8,8,13.7,50.0,800,1.0,59.0,0,llama4-scout,domain,321,219.6
17,8,8,15.6,56.0,896,1.0,63.0,0,llama4-scout,domain,321,788.8
18,8,8,16.0,57.3,917,1.0,67.0,0,llama4-scout,domain,321,1252.5
19,8,8,19.0,58.3,933,1.0,71.0,0,llama4-scout,domain,321,753.7
20,8,8,15.5,55.9,894,1.0,75.0,0,llama4-scout,domain,321,63.8
21,8,8,14.7,55.3,885,1.0,79.0,0,llama4-scout,domain,321,422.1
22,8,8,15.0,51.1,818,1.0,83.0,0,llama4-scout,domain,321,551.6
23,8,8,13.2,49.6,793,1.0,87.0,0,llama4-scout,domain,321,457.7
24,8,8,12.7,49.3,789,1.0,91.0,0,llama4-scout,domain,321,1100.6
25,8,8,13.6,50.6,809,1.0,95.0,0,llama4-scout,domain,321,980.3
26,8,8,14.9,50.5,808,1.0,99.0,0,llama4-scout,domain,321,726.3
27,8,8,15.9,53.8,860,1.0,103.0,0,llama4-scout,domain,321,1679.3
28,8,8,13.5,46.9,750,1.0,107.0,0,llama4-scout,domain,321,831.3
29,8,8,12.6,46.9,751,1.0,111.0,0,llama4-scout,domain,321,1166.9
30,8,8,14.8,51.4,823,1.0,115.0,0,llama4-scout,domain,321,461.3
31,8,8,15.3,49.5,792,1.0,119.0,0,llama4-scout,domain,321,808.2
32,8,8,12.0,42.6,681,1.0,123.0,0,llama4-scout,domain,321,799.7
33,8,8,11.9,42.4,678,1.0,127.0,0,llama4-scout,domain,321,543.9
34,8,8,12.3,39.9,638,1.0,131.0,0,llama4-scout,domain,321,757.5
35,8,8,10.8,38.0,608,1.0,135.0,0,llama4-scout,domain,321,426.2
36,8,8,9.9,35.7,571,1.0,139.0,0,llama4-scout,domain,321,872.7
37,8,8,11.0,39.3,629,1.0,143.0,0,llama4-scout,domain,321,973.2
38,8,8,10.2,38.4,614,1.0,147.0,0,llama4-scout,domain,321,516.8
39,8,8,11.3,38.4,615,1.0,151.0,0,llama4-scout,domain,321,470.1
40,8,8,11.1,42.4,678,1.0,155.0,0,llama4-scout,domain,321,157.2
41,8,8,15.3,50.6,809,1.0,159.0,0,llama4-scout,domain,321,345.2
42,8,8,13.4,45.2,724,1.0,163.0,0,llama4-scout,domain,321,612.9
43,8,8,14.0,47.2,756,1.0,167.0,0,llama4-scout,domain,321,1293.1
44,8,8,12.5,45.8,732,1.0,171.0,0,llama4-scout,domain,321,509.4
45,8,8,13.8,46.1,738,1.0,175.0,0,llama4-scout,domain,321,459.3
46,8,8,12.9,43.6,697,1.0,179.0,0,llama4-scout,domain,321,466.2
47,8,8,11.5,45.8,732,1.0,183.0,0,llama4-scout,domain,321,266.8
48,8,8,14.2,50.9,815,1.0,187.0,0,llama4-scout,domain,321,645.7
49,8,8,13.6,51.2,819,1.0,191.0,0,llama4-scout,domain,321,302.8
50,8,8,16.0,52.2,836,1.0,195.0,0,llama4-scout,domain,321,456.6
51,8,8,13.2,51.4,822,1.0,199.0,0,llama4-scout,domain,321,156.3
52,8,8,12.3,44.2,707,1.0,203.0,0,llama4-scout,domain,321,706.8
53,8,8,12.6,42.1,673,1.0,207.0,0,llama4-scout,domain,321,311.3
54,8,8,11.7,39.6,633,1.0,211.0,0,llama4-scout,domain,321,121.1
55,8,8,11.1,40.0,640,1.0,215.0,0,llama4-scout,domain,321,441.1
56,8,8,11.3,38.9,623,1.0,219.0,0,llama4-scout,domain,321,214.3
57,8,8,11.9,43.6,698,1.0,223.0,0,llama4-scout,domain,321,959.9
58,8,8,11.3,36.9,590,1.0,227.0,0,llama4-scout,domain,321,721.5
59,8,8,11.3,37.8,604,1.0,231.0,0,llama4-scout,domain,321,309.5
60,8,8,12.2,44.0,704,1.0,235.0,0,llama4-scout,domain,321,662.8
61,8,8,13.8,44.9,719,1.0,239.0,0,llama4-scout,domain,321,359.6
62,8,8,13.9,46.6,745,1.0,243.0,0,llama4-scout,domain,321,467.5
63,8,8,13.2,49.7,795,1.0,247.0,0,llama4-scout,domain,321,537.6
64,8,8,13.7,49.6,793,1.0,251.0,0,llama4-scout,domain,321,374.6
65,8,8,12.7,45.9,734,1.0,255.0,0,llama4-scout,domain,321,111.8
66,8,8,13.5,44.5,712,1.0,259.0,0,llama4-scout,domain,321,85.5
67,8,8,12.9,43.9,702,1.0,263.0,0,llama4-scout,domain,321,203.9
68,8,8,12.9,45.6,730,1.0,267.0,0,llama4-scout,domain,321,82.7
69,8,8,12.0,39.1,625,1.0,271.0,0,llama4-scout,domain,321,79.0
70,8,8,12.0,43.4,695,1.0,275.0,0,llama4-scout,domain,321,108.4
71,8,8,11.3,38.6,618,1.0,279.0,0,llama4-scout,domain,321,246.1
72,8,8,11.1,34.8,556,1.0,283.0,0,llama4-scout,domain,321,668.5
73,8,8,11.4,36.8,589,1.0,287.0,0,llama4-scout,domain,321,361.2
74,8,8,10.7,32.7,523,1.0,291.0,0,llama4-scout,domain,321,264.9
75,8,8,11.8,37.9,607,1.0,295.0,0,llama4-scout,domain,321,230.9
76,8,8,13.1,49.6,794,1.0,299.0,0,llama4-scout,domain,321,268.4
