step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,6,3,99.2,91.8,551,1.0,1.5,1,llama4-scout,history_5,194,518.6
1,6,6,12.8,43.3,520,1.0,4.5,0,llama4-scout,history_5,228,72.0
2,6,6,13.0,41.6,499,1.0,7.5,0,llama4-scout,history_5,262,179.3
3,6,6,12.5,42.8,513,1.0,10.5,0,llama4-scout,history_5,296,408.8
4,6,6,12.6,43.2,519,1.0,13.5,0,llama4-scout,history_5,330,112.0
5,6,6,12.6,47.6,571,1.0,16.5,0,llama4-scout,history_5,364,114.4
6,9,6,22.6,66.2,795,1.0,19.5,1,llama4-scout,history_5,364,435.6
7,9,9,14.8,51.8,933,1.0,24.0,0,llama4-scout,history_5,364,328.4
8,9,9,14.7,50.7,913,1.0,28.5,0,llama4-scout,history_5,364,541.1
9,9,9,13.3,47.1,848,1.0,33.0,0,llama4-scout,history_5,364,379.2
10,9,9,13.6,49.4,890,1.0,37.5,0,llama4-scout,history_5,364,796.7
11,9,9,13.6,49.4,889,1.0,42.0,0,llama4-scout,history_5,364,450.0
12,8,8,12.5,42.7,768,1.0,46.5,1,llama4-scout,history_5,364,114.2
13,8,8,14.3,48.9,782,1.0,50.5,0,llama4-scout,history_5,364,266.7
14,8,8,13.2,48.4,774,1.0,54.5,0,llama4-scout,history_5,364,262.5
15,9,8,12.4,49.4,790,1.0,58.5,1,llama4-scout,history_5,364,183.8
16,9,9,12.0,44.4,800,1.0,63.0,0,llama4-scout,history_5,364,109.1
17,10,9,13.9,49.8,896,1.0,67.5,1,llama4-scout,history_5,364,81.5
18,10,10,13.5,45.9,917,1.0,72.5,0,llama4-scout,history_5,364,146.9
19,10,10,13.5,46.7,933,1.0,77.5,0,llama4-scout,history_5,364,224.7
20,10,10,13.4,44.7,894,1.0,82.5,0,llama4-scout,history_5,364,88.1
21,10,10,12.6,44.2,885,1.0,87.5,0,llama4-scout,history_5,364,78.3
22,9,9,10.5,40.9,818,1.0,92.5,1,llama4-scout,history_5,364,330.2
23,9,9,12.6,44.1,793,1.0,97.0,0,llama4-scout,history_5,364,423.5
24,9,9,12.3,43.8,789,1.0,101.5,0,llama4-scout,history_5,364,531.6
25,9,9,13.4,44.9,809,1.0,106.0,0,llama4-scout,history_5,364,496.4
26,9,9,12.8,44.9,808,1.0,110.5,0,llama4-scout,history_5,364,300.7
27,9,9,13.3,47.8,860,1.0,115.0,0,llama4-scout,history_5,364,85.9
28,9,9,11.7,41.7,750,1.0,119.5,0,llama4-scout,history_5,364,346.8
29,9,9,11.5,41.7,751,1.0,124.0,0,llama4-scout,history_5,364,198.3
30,9,9,13.0,45.7,823,1.0,128.5,0,llama4-scout,history_5,364,388.4
31,9,9,12.2,44.0,792,1.0,133.0,0,llama4-scout,history_5,364,465.0
32,8,8,10.4,37.8,681,1.0,137.5,1,llama4-scout,history_5,364,414.5
33,8,8,10.7,42.4,678,1.0,141.5,0,llama4-scout,history_5,364,94.3
34,8,8,12.2,39.9,638,1.0,145.5,0,llama4-scout,history_5,364,128.1
35,8,8,11.2,38.0,608,1.0,149.5,0,llama4-scout,history_5,364,122.7
36,8,8,10.3,35.7,571,1.0,153.5,0,llama4-scout,history_5,364,80.9
37,8,8,11.4,39.3,629,1.0,157.5,0,llama4-scout,history_5,364,79.1
38,8,8,10.4,38.4,614,1.0,161.5,0,llama4-scout,history_5,364,85.4
