step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,92.0,91.8,551,1.0,1.5,1,qwen3-32b,history_5,712,3796.6
1,4,4,21.5,65.0,520,1.0,3.5,0,qwen3-32b,history_5,635,4760.9
2,3,3,20.0,62.4,499,1.0,5.5,1,qwen3-32b,history_5,788,4852.6
3,20,3,59.4,85.5,513,1.0,7.0,1,qwen3-32b,history_5,826,4934.4
4,20,20,8.0,13.0,519,1.0,17.0,0,qwen3-32b,history_5,865,5862.9
5,8,8,8.3,14.3,571,1.0,27.0,1,qwen3-32b,history_5,903,10617.2
6,8,8,14.5,49.7,795,1.0,31.0,0,qwen3-32b,history_5,0,0.0
7,3,3,17.1,58.3,933,1.0,35.0,1,qwen3-32b,history_5,902,7069.6
8,20,3,1307.6,100.0,913,0.7392,36.5,1,qwen3-32b,history_5,908,3147.1
9,5,5,8.9,21.2,848,1.0,46.5,1,qwen3-32b,history_5,909,7504.8
10,1,1,73.9,89.0,890,1.0,49.0,1,qwen3-32b,history_5,908,5522.6
11,1,1,5649.8,100.0,889,0.5,49.5,0,qwen3-32b,history_5,911,8009.4
12,1,1,4968.5,100.0,768,0.5,50.0,0,qwen3-32b,history_5,914,5406.4
13,20,1,5356.4,100.0,782,0.5,50.5,1,qwen3-32b,history_5,917,11379.6
14,20,20,8.0,19.4,774,1.0,60.5,0,qwen3-32b,history_5,912,2208.4
15,7,7,8.8,19.8,790,1.0,70.5,1,qwen3-32b,history_5,912,6394.0
16,5,5,15.9,57.1,800,1.0,74.0,1,qwen3-32b,history_5,911,8429.1
17,20,5,86.1,89.6,896,1.0,76.5,1,qwen3-32b,history_5,908,4527.4
18,9,9,8.9,22.9,917,1.0,86.5,1,qwen3-32b,history_5,906,7651.8
19,9,9,15.2,51.8,933,1.0,91.0,0,qwen3-32b,history_5,902,5508.0
20,20,9,14.1,49.7,894,1.0,95.5,1,qwen3-32b,history_5,902,7189.0
21,20,20,9.0,22.1,885,1.0,105.5,0,qwen3-32b,history_5,903,8892.6
22,20,20,8.3,20.4,818,1.0,115.5,0,qwen3-32b,history_5,903,3610.6
23,20,20,9.4,19.8,793,1.0,125.5,0,qwen3-32b,history_5,903,12709.5
24,20,20,9.1,19.7,789,1.0,135.5,0,qwen3-32b,history_5,903,1346.2
25,2,2,8.6,20.2,809,1.0,145.5,1,qwen3-32b,history_5,903,6468.4
26,20,2,5255.0,100.0,808,0.5,146.5,1,qwen3-32b,history_5,905,5213.9
27,20,20,8.8,21.5,860,1.0,156.5,0,qwen3-32b,history_5,804,6197.2
28,20,20,8.2,18.8,750,1.0,166.5,0,qwen3-32b,history_5,906,8797.9
29,20,20,8.7,18.8,751,1.0,176.5,0,qwen3-32b,history_5,764,3172.4
30,12,12,8.9,20.6,823,1.0,186.5,1,qwen3-32b,history_5,906,5375.2
31,20,12,9.8,33.0,792,1.0,192.5,1,qwen3-32b,history_5,906,6343.8
32,17,17,8.5,17.0,681,1.0,202.5,1,qwen3-32b,history_5,903,7490.9
33,20,17,8.3,19.9,678,1.0,211.0,1,qwen3-32b,history_5,903,7439.2
34,9,9,9.0,16.0,638,1.0,221.0,1,qwen3-32b,history_5,903,5587.3
35,20,9,10.0,33.8,608,1.0,225.5,1,qwen3-32b,history_5,902,7909.9
36,20,20,8.6,14.3,571,1.0,235.5,0,qwen3-32b,history_5,903,5673.9
37,14,14,8.6,15.7,629,1.0,245.5,1,qwen3-32b,history_5,903,6017.2
38,1,1,9.4,21.9,614,1.0,252.5,1,qwen3-32b,history_5,903,6290.7
39,20,1,5199.4,100.0,615,0.5,253.0,1,qwen3-32b,history_5,905,6314.4
40,20,20,8.3,17.0,678,1.0,263.0,0,qwen3-32b,history_5,906,6699.2
41,2,2,8.8,20.2,809,1.0,273.0,1,qwen3-32b,history_5,906,7420.0
42,20,2,2899.4,100.0,724,0.595,274.0,1,qwen3-32b,history_5,910,6199.3
43,20,20,9.1,18.9,756,1.0,284.0,0,qwen3-32b,history_5,911,13737.1
44,3,3,9.1,18.3,732,1.0,294.0,1,qwen3-32b,history_5,911,4090.4
45,5,3,483.3,100.0,738,0.885,295.5,1,qwen3-32b,history_5,911,5268.1
46,7,5,26.6,69.7,697,1.0,298.0,1,qwen3-32b,history_5,911,3527.0
47,2,2,16.7,52.3,732,1.0,301.5,1,qwen3-32b,history_5,911,9689.8
48,20,2,5323.6,100.0,815,0.5,302.5,1,qwen3-32b,history_5,909,2369.5
49,5,5,9.0,20.5,819,1.0,312.5,1,qwen3-32b,history_5,910,8318.9
50,8,5,55.8,83.6,836,1.0,315.0,1,qwen3-32b,history_5,909,7284.8
51,8,8,16.2,51.4,822,1.0,319.0,0,qwen3-32b,history_5,905,5865.7
52,8,8,11.5,44.2,707,1.0,323.0,0,qwen3-32b,history_5,905,5451.8
53,1,1,11.9,42.1,673,1.0,327.0,1,qwen3-32b,history_5,905,6339.1
